write log to C:\Users\Family\AppData\Local\AOP SDK\acer infra\acer\SyncAgent\logs\acercloudsdk.20211110_182352_194000.log
18:23:52:194 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | Stop Controller before delelte Suppliers
18:23:52:341 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _ServiceSuppliers
18:23:52:341 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pTagEditController
18:23:52:341 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pMetadataController
18:23:52:341 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pAcerlibAgent
18:23:52:342 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pCloudAgent2
18:23:52:342 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pPlayListAgent2
18:23:52:342 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pCameraRollAgent
18:23:52:342 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pLocalAgent
18:23:52:342 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pDLNAAgent
18:23:52:342 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pMessageController
18:23:52:343 | BackgroundAgent_by_UPMonitor.dll | START |108816 | AOP Framework SDK version [3.10.7.2000] parterId [acer]
18:23:52:343 | BackgroundAgent_by_UPMonitor.dll | INFO | ExceptionHandler | 108816 | error [-50002]
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | START |108816 | Clearfi Framework SDK version [3.10.7.2000] brand [acer]
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | Reset Timer
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | Reset _pFrameworkWatcher
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | TagEditController_Release
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pFileHandler
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pMediaPlayerAgent
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _ACPanelController
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pFileManager
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | Stop Controller before delelte Suppliers
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _ServiceSuppliers
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pTagEditController
18:23:53:350 | BackgroundAgent_by_UPMonitor.dll | INFO | Clearfi::Reset | 108816 | reset _pMetadataController
